link,name,Model Name,Series,Color,Type,user rating,Price,Suitable For,Processor Brand,Processor Name,Processor Generation,Processor Variant,Clock Speed,Number of Cores,Cache,RAM,RAM Type,RAM Frequency,Memory Slots,SSD,SSD Capacity,HDD Capacity,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Graphic Processor,TGP,Screen Size,Screen Resolution,Screen Type,Refresh Rate,Brightness,Weight,Dimensions,Battery Backup,Battery Cell,Power Supply,Operating System,MS Office Provided,Backlit Keyboard,Web Camera
https://www.flipkart.com/asus-rog-strix-scar-17-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g733zw-ll139ws-gaming-laptop/p/itm0e721469cc7cc?pid=COMGCZUJCBRGXYFX&lid=LSTCOMGCZUJCBRGXYFXT7VNUU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_73&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCZUJCBRGXYFX.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)",G733ZW-LL139WS,ROG Strix SCAR 17,Off Black,Gaming Laptop,5.0,"?2,34,990",Gaming,Intel,Core i9,12th Gen,12900H,2.5 GHz upto max turbo frequency at 5.0 Ghz,14.0,24,32 GB,DDR5,,,Yes,1 TB,,GDDR6,8 GB,NVIDIA GeForce RTX 3070 Ti,,43.94 cm (17.3 inch),2560 x 1440 Pixel,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",,,2.90 kg,395 x 282 x 28.3 mm,,4 cell,280 W AC Adapter,Windows 11 Home,Yes,Yes,
https://www.flipkart.com/asus-rog-strix-scar-15-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g533zw-ln136ws-gaming-laptop/p/itmd6e8ba35232e4?pid=COMGCZUJVKGPCCYE&lid=LSTCOMGCZUJVKGPCCYEPSSUDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_74&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCZUJVKGPCCYE.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN136WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)",G533ZW-LN136WS,ROG Strix SCAR 15,Off Black,Gaming Laptop,,"?2,29,990",Gaming,Intel,Core i9,12th Gen,12900H,2.5 GHz upto max turbo frequency at 5.0 Ghz,14.0,24,32 GB,DDR5,,,Yes,1 TB,,GDDR6,8 GB,NVIDIA GeForce RTX 3070 Ti,,39.62 cm (15.6 inch),2560 x 1440 Pixel,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",,,2.30 kg,354 x 259 x 27.2 mm,,4 cell,280 W AC Adapter,Windows 11 Home,Yes,Yes,
https://www.flipkart.com/hp-victus-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-16-e0351ax-gaming-laptop/p/itm3a869e89d6498?pid=COMG8N9HRE7QYYBE&lid=LSTCOMG8N9HRE7QYYBEALDT8F&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_75&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMG8N9HRE7QYYBE.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 16-e0351AX Gaming Laptop  (16.1 inch, Mica Silver, 2.48 kg, With MS Office)",16-e0351AX,Victus,Mica Silver,Gaming Laptop,,"?1,04,091",Gaming,AMD,Ryzen 7 Octa Core,,5800H,3.2 GHz upto max turbo frequency at 4.4 GHz,8.0,16MB,16 GB,DDR4,,,Yes,512 GB,,GDDR6,4 GB,NVIDIA GeForce RTX 3050,,40.89 cm (16.1 inch),1920 x 1080 PIxel,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi",,,2.48 kg,370 x 262 x 23.5 mm,,4 cell,,Windows 11 Home,Yes,Yes,HP Wide Vision 720p HD camera
https://www.flipkart.com/lenovo-ideapad-gaming-3i-ryzen-7-octa-core-r7-5800h-5th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ach6-laptop/p/itmbc01bfc64700e?pid=COMGD8Z2J9JH7AAX&lid=LSTCOMGD8Z2J9JH7AAXOJWV00&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_76&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8Z2J9JH7AAX.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7-5800H 5th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)",IdeaPad Gaming 3,IdeaPad Gaming 3i,Shadow Black,Gaming Laptop,,"?87,717",Gaming,AMD,Ryzen 7 Octa Core,5th Gen,R7-5800H,3.2 GHz,8.0,16 MB,16 GB,DDR4,3200 MHz,2,Yes,512 GB,,GDDR6,4 GB,NVIDIA GeForce RTX 3050,,39.62 cm (15.6 inch),1920 x 1080 pixel,"Full HD Anti-glare Display, 250nits Brightness, 120Hz, 45 Percent NTSC, DC Dimmer",,250 Nits,2.25 kg,251.9 x?359.6 x?24.2 mm,Upto 4 hours,,Slim Tip 3-pin Power Adapter,Windows 11 Home,Yes,Yes,720p HD with PrivacyShutter
https://www.flipkart.com/lenovo-yoga-slim-7-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-82a300mbin-thin-light-laptop/p/itm8d670bbb74a5b?pid=COMGD8RMGDEUBVSZ&lid=LSTCOMGD8RMGDEUBVSZY8IBIK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_77&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8RMGDEUBVSZ.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82A300MBIN Thin and Light Laptop  (14 inch, Slate Grey, With MS Office)",Yoga Slim 7 14ITL05,Yoga Slim 7,Slate Grey,Thin and Light Laptop,,"?75,990","Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business",Intel,Core i5,11th Gen,,,,,16 GB,DDR4,,,Yes,512 GB,,,,Intel Integrated Intel,,35.56 cm (14 inch),1080 pixel,Full HD,,,,,Upto 12 Hours,,,Windows 11 Home,Yes,Yes,Yes
https://www.flipkart.com/lenovo-yoga-slim-7-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itm4a202e05ce632?pid=COMGD8NWUVM8F5YG&lid=LSTCOMGD8NWUVM8F5YGEYMIMD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_78&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8NWUVM8F5YG.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"Lenovo Yoga Slim 7 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)",Yoga Slim 7,Yoga Slim 7,Slate Grey,Thin and Light Laptop,,"?78,395",Processing & Multitasking,Intel,Core i7,11th Gen,i5 1135G7,2.4 GHz,4.0,8 MB,16 GB,DDR4,3200 MHz,,Yes,512 GB,,,,Intel Integrated Iris Xe Graphics,,35.56 cm (14 inch),1920 x 1080 pixel,"14"" FHD (1920x1080) | IPS Technology | 300Nits Brightness |100% sRGB",,300 Nits,1.36 kg,208.18?x?320.6?x?14.9?mm,Upto 15 hours,,65W USB-C AC Adapter,Windows 11 Home,Yes,Yes,IR + ToF & 720p HD with PrivacyShutter
https://www.flipkart.com/lenovo-v15-celeron-dual-core-4-gb-256-gb-ssd-windows-10-82c30053ih-thin-light-laptop/p/itmbb8fd7d46586e?pid=COMGDF2CDX97JDPC&lid=LSTCOMGDF2CDX97JDPCNUVMWS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_79&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGDF2CDX97JDPC.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop  (15.6 inch, Iron Grey)",82C3(V15-IGL),Lenovo V15,Iron Grey,Thin and Light Laptop,3.0,"?29,290","Everyday Use, Entertainment, Travel & Business, Processing & Multitasking",Intel,Celeron Dual Core,,,,,,4 GB,DDR4,,,Yes,256 GB,,,,Intel Integrated Intel HD,,39.62 cm (15.6 inch),1080 pixel,,,,,,upto 6 hours,,,Windows 10,No,,Yes
https://www.flipkart.com/lenovo-yoga-6-ryzen-7-octa-core-r7-5700u-5th-gen-16-gb-1-tb-ssd-windows-11-home-13alc6-2-1-laptop/p/itm4cabce05238a7?pid=COMGD8Z4UNZNDH2D&lid=LSTCOMGD8Z4UNZNDH2D58DPF3&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_80&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8Z4UNZNDH2D.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",Yoga 6,Yoga 6,Abyss Blue,2 in 1 Laptop,,"?91,308",Processing & Multitasking,AMD,Ryzen 7 Octa Core,5th Gen,R7-5700U,1.8 GHz,8.0,8 MB,16 GB,DDR4,3200 MHz,,Yes,1 TB,,,,AMD Radeon Integrated AMD Radeon Graphics,,33.78 cm (13.3 inch),1920 x 1080 pixel,"13"" FHD (1920x1080) | IPS Technology | 300 Nits Glossy | Touch",,300 Nits,1.31 kg,208.18?x?320.6?x?15.1?mm,Upto 18 hours,,45 W AC Adapter,Windows 11 Home,Yes,Yes,720p HD with PrivacyShutter
https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lh-hn310w-laptop/p/itm2aff3fc0e3cbb?pid=COMGD6KGRF4CZ2PB&lid=LSTCOMGD6KGRF4CZ2PBX0TKUT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_81&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD6KGRF4CZ2PB.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN310W Gaming Laptop  (15.6 inch, Black, 2.30 kg)",TUF Gaming F15,TUF Gaming F15,Black,Gaming Laptop,4.7,"?64,990","Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance",Intel,Core i5,10th Gen,i5-10300H,2.5 Ghz With Turbo Upto 4.5,4.0,8 MB,8 GB,DDR4,2933 MHz,DDR4 SO-DIMM * 2,Yes,1 TB,,GDDR6,4 GB,NVIDIA GeForce GTX 1650,,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.1%, Refresh Rate:144Hz, Value IPS-level, Optimus",144 Hz,,2.30 kg,35.9 x 25.6 x 2.47 ~ 2.49 cm,Upto 5 Hrs.,,"150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal",Windows 11 Home,No,Yes,720p HD
https://www.flipkart.com/dell-inspiron-pentium-silver-8-gb-256-gb-ssd-windows-11-home-3521-notebook/p/itm8a3845e0d7c3d?pid=COMGCYF92HFJXHTU&lid=LSTCOMGCYF92HFJXHTUAWJIWY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_82&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCYF92HFJXHTU.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)",Inspiron 3521,Inspiron,Carbon Black,Notebook,4.0,"?32,999",Everyday Use,Intel,Pentium Silver,,N5030,3.1,4.0,4,8 GB,DDR4,2666 MHz,2,Yes,256 GB,,,,Intel Integrated UHD Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"HD, AG Narrow Border",,,1.61 Kg,358 x 210 x 23.5 mm,Upto 7 hours,3,,Windows 11 Home,Yes,Yes,HD
