component_id,type,name,performance_level
0_CPU,CPU,Intel Core i9 12th Gen,Extreme
0_GPU,GPU,NVIDIA GeForce RTX 3070 Ti,Extreme
0_RAM,RAM,32 GB,Extreme
0_STORAGE,STORAGE,1024.0 GB,Extreme
1_CPU,CPU,Intel Core i9 12th Gen,Extreme
1_GPU,GPU,NVIDIA GeForce RTX 3070 Ti,Extreme
1_RAM,RAM,32 GB,Extreme
1_STORAGE,STORAGE,1024.0 GB,Extreme
2_CPU,CPU,AMD Ryzen 7 Octa Core,High
2_GPU,GPU,NVIDIA GeForce RTX 3050,High
2_RAM,RAM,16 GB,High
2_STORAGE,STORAGE,512.0 GB,High
3_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,High
3_GPU,GPU,NVIDIA GeForce RTX 3050,High
3_RAM,RAM,16 GB,High
3_STORAGE,STORAGE,512.0 GB,High
4_CPU,CPU,Intel Core i5 11th Gen,Low
4_GPU,GPU,Intel Integrated Intel,Low
4_RAM,RAM,16 GB,Low
4_STORAGE,STORAGE,512.0 GB,Low
5_CPU,CPU,Intel Core i7 11th Gen,Low
5_GPU,GPU,Intel Integrated Iris Xe Graphics,Low
5_RAM,RAM,16 GB,Low
5_STORAGE,STORAGE,512.0 GB,Low
6_CPU,CPU,Intel Celeron Dual Core,Low
6_GPU,GPU,Intel Integrated Intel HD,Low
6_RAM,RAM,4 GB,Low
6_STORAGE,STORAGE,256.0 GB,Low
7_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,Medium
7_GPU,GPU,AMD Radeon Integrated AMD Radeon Graphics,Medium
7_RAM,RAM,16 GB,Medium
7_STORAGE,STORAGE,1024.0 GB,Medium
8_CPU,CPU,Intel Core i5 10th Gen,Medium
8_GPU,GPU,NVIDIA GeForce GTX 1650,Medium
8_RAM,RAM,8 GB,Medium
8_STORAGE,STORAGE,1024.0 GB,Medium
9_CPU,CPU,Intel Pentium Silver,Low
9_GPU,GPU,Intel Integrated UHD Graphics,Low
9_RAM,RAM,8 GB,Low
9_STORAGE,STORAGE,256.0 GB,Low
10_CPU,CPU,AMD Athlon Dual Core,Low
10_GPU,GPU,AMD Radeon Radeon Graphics,Low
10_RAM,RAM,8 GB,Low
10_STORAGE,STORAGE,256.0 GB,Low
11_CPU,CPU,Intel Core i5 11th Gen,Medium
11_GPU,GPU,Intel Integrated Iris Xe,Medium
11_RAM,RAM,16 GB,Medium
11_STORAGE,STORAGE,512.0 GB,Medium
12_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,Low
12_GPU,GPU,AMD Radeon Integrated AMD Radeon Graphics,Low
12_RAM,RAM,16 GB,Low
12_STORAGE,STORAGE,512.0 GB,Low
13_CPU,CPU,AMD Ryzen 7 Dual Core 7th Gen,Medium
13_GPU,GPU,NVIDIA GeForce RTX3050- 4GB,Medium
13_RAM,RAM,16 GB,Medium
13_STORAGE,STORAGE,1024.0 GB,Medium
14_CPU,CPU,AMD Ryzen 3 Quad Core 3rd Gen,Low
14_GPU,GPU,AMD Radeon amd redeon,Low
14_RAM,RAM,8 GB,Low
14_STORAGE,STORAGE,256.0 GB,Low
15_CPU,CPU,AMD Ryzen 9 Octa Core 5th Gen,High
15_GPU,GPU,NVIDIA GeForce GTX 1650,High
15_RAM,RAM,32 GB,High
15_STORAGE,STORAGE,1024.0 GB,High
16_CPU,CPU,Intel Core i7 11th Gen,High
16_GPU,GPU,NVIDIA GeForce RTX 3070,High
16_RAM,RAM,16 GB,High
16_STORAGE,STORAGE,1024.0 GB,High
17_CPU,CPU,Intel Core i3 11th Gen,Low
17_GPU,GPU,Intel Integrated Intel® UHD Graphics,Low
17_RAM,RAM,8 GB,Low
17_STORAGE,STORAGE,256.0 GB,Low
18_CPU,CPU,Intel Core i5 11th Gen,Low
18_GPU,GPU,Intel Integrated Iris Xe,Low
18_RAM,RAM,16 GB,Low
18_STORAGE,STORAGE,512.0 GB,Low
19_CPU,CPU,Intel Core i5 11th Gen,Low
19_GPU,GPU,Intel Integrated Iris Xe,Low
19_RAM,RAM,16 GB,Low
19_STORAGE,STORAGE,512.0 GB,Low
20_CPU,CPU,Intel Core i5 11th Gen,Low
20_GPU,GPU,Intel Integrated Iris Xe,Low
20_RAM,RAM,16 GB,Low
20_STORAGE,STORAGE,512.0 GB,Low
21_CPU,CPU,Intel Core i7 11th Gen,High
21_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
21_RAM,RAM,16 GB,High
21_STORAGE,STORAGE,512.0 GB,High
22_CPU,CPU,AMD Ryzen 5 Hexa Core,High
22_GPU,GPU,NVIDIA GeForce RTX 3050,High
22_RAM,RAM,8 GB,High
22_STORAGE,STORAGE,512.0 GB,High
23_CPU,CPU,Intel Celeron Dual Core,Low
23_GPU,GPU,Intel Integrated UHD Graphics,Low
23_RAM,RAM,4 GB,Low
23_STORAGE,STORAGE,128.0 GB,Low
24_CPU,CPU,Intel Core i5 12th Gen,Medium
24_GPU,GPU,Intel Integrated Iris Xe Graphics,Medium
24_RAM,RAM,16 GB,Medium
24_STORAGE,STORAGE,512.0 GB,Medium
25_CPU,CPU,Intel Core i7 12th Gen,Low
25_GPU,GPU,Intel Integrated Iris Xe,Low
25_RAM,RAM,16 GB,Low
25_STORAGE,STORAGE,512.0 GB,Low
26_CPU,CPU,Intel Core i5 12th Gen,Medium
26_GPU,GPU,Intel Integrated Iris Xe,Medium
26_RAM,RAM,16 GB,Medium
26_STORAGE,STORAGE,512.0 GB,Medium
27_CPU,CPU,Intel Core i7 12th Gen,Medium
27_GPU,GPU,Intel Integrated Iris Xe,Medium
27_RAM,RAM,16 GB,Medium
27_STORAGE,STORAGE,1024.0 GB,Medium
28_CPU,CPU,Intel Core i5 12th Gen,Medium
28_GPU,GPU,Intel Integrated Iris Xe Graphics,Medium
28_RAM,RAM,16 GB,Medium
28_STORAGE,STORAGE,512.0 GB,Medium
29_CPU,CPU,Intel Core i7 12th Gen,Medium
29_GPU,GPU,Intel Integrated Iris Xe,Medium
29_RAM,RAM,16 GB,Medium
29_STORAGE,STORAGE,512.0 GB,Medium
30_CPU,CPU,Intel Core i7 12th Gen,Medium
30_GPU,GPU,Intel Integrated Iris Xe Graphics,Medium
30_RAM,RAM,16 GB,Medium
30_STORAGE,STORAGE,512.0 GB,Medium
31_CPU,CPU,Intel Core i5 12th Gen,Medium
31_GPU,GPU,Intel Integrated Iris Xe,Medium
31_RAM,RAM,16 GB,Medium
31_STORAGE,STORAGE,512.0 GB,Medium
32_CPU,CPU,AMD Ryzen 5 Quad Core,Low
32_GPU,GPU,AMD Radeon Vega 8,Low
32_RAM,RAM,8 GB,Low
32_STORAGE,STORAGE,256.0 GB,Low
33_CPU,CPU,AMD Ryzen 7 Hexa Core 10th Gen,Medium
33_GPU,GPU,NVIDIA GeForce RTX 3050 rts,Medium
33_RAM,RAM,8 GB,Medium
33_STORAGE,STORAGE,512.0 GB,Medium
34_CPU,CPU,AMD Ryzen 9 Octa Core 10th Gen,Extreme
34_GPU,GPU,NVIDIA GeForce RTX RTX3060-6GB,Extreme
34_RAM,RAM,16 GB,Extreme
34_STORAGE,STORAGE,512.0 GB,Extreme
35_CPU,CPU,Intel Core i5 10th Gen,Low
35_GPU,GPU,Intel Integrated intel,Low
35_RAM,RAM,8 GB,Low
35_STORAGE,STORAGE,256.0 GB,Low
36_CPU,CPU,Intel Core i5 11th Gen,Low
36_GPU,GPU,Intel Integrated Intel HD Graphics,Low
36_RAM,RAM,8 GB,Low
36_STORAGE,STORAGE,1280.0 GB,Low
37_CPU,CPU,AMD Ryzen 7 Quad Core 10th Gen,Medium
37_GPU,GPU,NVIDIA GeForce GTX GTX 1650 4GB Graphics,Medium
37_RAM,RAM,8 GB,Medium
37_STORAGE,STORAGE,512.0 GB,Medium
38_CPU,CPU,Intel Core i5 11th Gen,Low
38_GPU,GPU,Intel Integrated Iris Xe,Low
38_RAM,RAM,16 GB,Low
38_STORAGE,STORAGE,512.0 GB,Low
39_CPU,CPU,Intel Core i5 10th Gen,Low
39_GPU,GPU,Intel Integrated UHD,Low
39_RAM,RAM,8 GB,Low
39_STORAGE,STORAGE,512.0 GB,Low
40_CPU,CPU,Intel Core i7 12th Gen,Extreme
40_GPU,GPU,NVIDIA GeForce RTX 3060,Extreme
40_RAM,RAM,16 GB,Extreme
40_STORAGE,STORAGE,1024.0 GB,Extreme
41_CPU,CPU,Intel Core i5 12th Gen,High
41_GPU,GPU,NVIDIA GeForce RTX 3050,High
41_RAM,RAM,16 GB,High
41_STORAGE,STORAGE,512.0 GB,High
