from_id,from_label,to_id,to_label,type
0,Laptop,ASUS,Brand,BELONGS_TO
0,Laptop,GRAPHISME,Usage,SUITABLE_FOR
0,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
0,Laptop,0_CPU,Component,HAS_COMPONENT
0,Laptop,0_GPU,Component,HAS_COMPONENT
0,Laptop,0_RAM,Component,HAS_COMPONENT
0,Laptop,0_STORAGE,Component,HAS_COMPONENT
1,Laptop,ASUS,Brand,BELONGS_TO
1,Laptop,GRAPHISME,Usage,SUITABLE_FOR
1,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
1,Laptop,1_CPU,Component,HAS_COMPONENT
1,Laptop,1_GPU,Component,HAS_COMPONENT
1,Laptop,1_RAM,Component,HAS_COMPONENT
1,Laptop,1_STORAGE,Component,HAS_COMPONENT
2,Laptop,HP,Brand,BELONGS_TO
2,Laptop,GAMING,Usage,SUITABLE_FOR
2,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
2,Laptop,2_CPU,Component,HAS_COMPONENT
2,Laptop,2_GPU,Component,HAS_COMPONENT
2,Laptop,2_RAM,Component,HAS_COMPONENT
2,Laptop,2_STORAGE,Component,HAS_COMPONENT
3,Laptop,LENOVO,Brand,BELONGS_TO
3,Laptop,GAMING,Usage,SUITABLE_FOR
3,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
3,Laptop,3_CPU,Component,HAS_COMPONENT
3,Laptop,3_GPU,Component,HAS_COMPONENT
3,Laptop,3_RAM,Component,HAS_COMPONENT
3,Laptop,3_STORAGE,Component,HAS_COMPONENT
4,Laptop,LENOVO,Brand,BELONGS_TO
4,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
4,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
4,Laptop,4_CPU,Component,HAS_COMPONENT
4,Laptop,4_GPU,Component,HAS_COMPONENT
4,Laptop,4_RAM,Component,HAS_COMPONENT
4,Laptop,4_STORAGE,Component,HAS_COMPONENT
5,Laptop,LENOVO,Brand,BELONGS_TO
5,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
5,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
5,Laptop,5_CPU,Component,HAS_COMPONENT
5,Laptop,5_GPU,Component,HAS_COMPONENT
5,Laptop,5_RAM,Component,HAS_COMPONENT
5,Laptop,5_STORAGE,Component,HAS_COMPONENT
6,Laptop,LENOVO,Brand,BELONGS_TO
6,Laptop,ETUDES,Usage,SUITABLE_FOR
6,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
6,Laptop,6_CPU,Component,HAS_COMPONENT
6,Laptop,6_GPU,Component,HAS_COMPONENT
6,Laptop,6_RAM,Component,HAS_COMPONENT
6,Laptop,6_STORAGE,Component,HAS_COMPONENT
