laptop_id,name,external_link,price,price_tier,rating,ram_gb,storage_gb,weight,screen_size,cpu,gpu,gpu_vram_gb,cpu_score,gpu_score,ram_score,perf_score,performance_level,primary_usage,eco_class,estimated_consumption,price_inr
0,"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)",https://www.flipkart.com/asus-rog-strix-scar-17-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g733zw-ll139ws-gaming-laptop/p/itm0e721469cc7cc?pid=COMGCZUJCBRGXYFX&lid=LSTCOMGCZUJCBRGXYFXT7VNUU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_73&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCZUJCBRGXYFX.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,28199.0,Premium,5.0,32,1024.0,2.9,17.3,Intel Core i9 12th Gen,NVIDIA GeForce RTX 3070 Ti,8.0,3,3,3,3.0000000000000004,Extreme,Graphisme,C,High,234990.0
1,"ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN136WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)",https://www.flipkart.com/asus-rog-strix-scar-15-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g533zw-ln136ws-gaming-laptop/p/itmd6e8ba35232e4?pid=COMGCZUJVKGPCCYE&lid=LSTCOMGCZUJVKGPCCYEPSSUDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_74&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCZUJVKGPCCYE.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,27599.0,Premium,,32,1024.0,2.3,15.6,Intel Core i9 12th Gen,NVIDIA GeForce RTX 3070 Ti,8.0,3,3,3,3.0000000000000004,Extreme,Graphisme,C,High,229990.0
2,"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 16-e0351AX Gaming Laptop  (16.1 inch, Mica Silver, 2.48 kg, With MS Office)",https://www.flipkart.com/hp-victus-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-16-e0351ax-gaming-laptop/p/itm3a869e89d6498?pid=COMG8N9HRE7QYYBE&lid=LSTCOMG8N9HRE7QYYBEALDT8F&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_75&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMG8N9HRE7QYYBE.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,12491.0,Premium,,16,512.0,2.48,16.1,AMD Ryzen 7 Octa Core,NVIDIA GeForce RTX 3050,4.0,3,2,2,2.4,High,Gaming,C,High,104091.0
3,"Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7-5800H 5th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)",https://www.flipkart.com/lenovo-ideapad-gaming-3i-ryzen-7-octa-core-r7-5800h-5th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ach6-laptop/p/itmbc01bfc64700e?pid=COMGD8Z2J9JH7AAX&lid=LSTCOMGD8Z2J9JH7AAXOJWV00&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_76&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8Z2J9JH7AAX.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,10526.0,Premium,,16,512.0,2.25,15.6,AMD Ryzen 7 Octa Core 5th Gen,NVIDIA GeForce RTX 3050,4.0,3,2,2,2.4,High,Gaming,C,High,87717.0
4,"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82A300MBIN Thin and Light Laptop  (14 inch, Slate Grey, With MS Office)",https://www.flipkart.com/lenovo-yoga-slim-7-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-82a300mbin-thin-light-laptop/p/itm8d670bbb74a5b?pid=COMGD8RMGDEUBVSZ&lid=LSTCOMGD8RMGDEUBVSZY8IBIK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_77&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8RMGDEUBVSZ.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,9119.0,High,,16,512.0,,14.0,Intel Core i5 11th Gen,Intel Integrated Intel,,2,0,2,1.2000000000000002,Low,Développement,B,Medium,75990.0
5,"Lenovo Yoga Slim 7 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)",https://www.flipkart.com/lenovo-yoga-slim-7-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itm4a202e05ce632?pid=COMGD8NWUVM8F5YG&lid=LSTCOMGD8NWUVM8F5YGEYMIMD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_78&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8NWUVM8F5YG.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,9407.0,High,,16,512.0,1.36,14.0,Intel Core i7 11th Gen,Intel Integrated Iris Xe Graphics,,2,0,2,1.2000000000000002,Low,Développement,A,Low,78395.0
6,"Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop  (15.6 inch, Iron Grey)",https://www.flipkart.com/lenovo-v15-celeron-dual-core-4-gb-256-gb-ssd-windows-10-82c30053ih-thin-light-laptop/p/itmbb8fd7d46586e?pid=COMGDF2CDX97JDPC&lid=LSTCOMGDF2CDX97JDPCNUVMWS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_79&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGDF2CDX97JDPC.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,3515.0,Entry,3.0,4,256.0,,15.6,Intel Celeron Dual Core,Intel Integrated Intel HD,,1,0,1,0.6000000000000001,Low,Études,B,Medium,29290.0
7,"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",https://www.flipkart.com/lenovo-yoga-6-ryzen-7-octa-core-r7-5700u-5th-gen-16-gb-1-tb-ssd-windows-11-home-13alc6-2-1-laptop/p/itm4cabce05238a7?pid=COMGD8Z4UNZNDH2D&lid=LSTCOMGD8Z4UNZNDH2D58DPF3&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_80&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD8Z4UNZNDH2D.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,10957.0,Premium,,16,1024.0,1.31,13.3,AMD Ryzen 7 Octa Core 5th Gen,AMD Radeon Integrated AMD Radeon Graphics,,3,0,2,1.6,Medium,Développement,A,Low,91308.0
8,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN310W Gaming Laptop  (15.6 inch, Black, 2.30 kg)",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lh-hn310w-laptop/p/itm2aff3fc0e3cbb?pid=COMGD6KGRF4CZ2PB&lid=LSTCOMGD6KGRF4CZ2PBX0TKUT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_81&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGD6KGRF4CZ2PB.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,7799.0,High,4.7,8,1024.0,2.3,15.6,Intel Core i5 10th Gen,NVIDIA GeForce GTX 1650,4.0,2,2,1,1.8,Medium,Gaming,B,Medium,64990.0
9,"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)",https://www.flipkart.com/dell-inspiron-pentium-silver-8-gb-256-gb-ssd-windows-11-home-3521-notebook/p/itm8a3845e0d7c3d?pid=COMGCYF92HFJXHTU&lid=LSTCOMGCYF92HFJXHTUAWJIWY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_82&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.COMGCYF92HFJXHTU.SEARCH&ssid=3s0bamxoztl6qzgg1653219740289,3960.0,Entry,4.0,8,256.0,1.61,15.6,Intel Pentium Silver,Intel Integrated UHD Graphics,,1,0,1,0.6000000000000001,Low,Études,B,Medium,32999.0
